"lon","lat","id","name","addr","bnd","sameAs"
"8.907660","44.418644","7164","stazione servizio ENI","VIA BOLOGNA 24 M/R 16127 - GENOVA GE","AgipEni",
"8.969590","44.405359","14911","inp.agip 1046","CORSO EUROPA 11, 16132 - GENOVA GE","AgipEni",
"8.904683","44.464365","7855","Esso Andrea e Michele Gimondo s.n.c","VIA E. FAGGIONI 23 16162 - GENOVA GE","Esso",
"8.823122","44.425171","9801","CASTELLI SANDROE ROMANO SNC","statale 1 Via Aurelia, Km. 550, dir. ponente - GENOVA GE","AgipEni",
"8.768917","44.426251","5509","1018 GENOVA Voltri","DistriparK Europa   16158 - GENOVA GE","AgipEni",
"9.018141","44.386894","24590","GENOVA - EUROPA 1624","GENOVA - CORSO EUROPA 1624 - GENOVA GE","Api-Ip","16444"
"8.979951","44.453826","17781","G.M. di Gugino Vincenzo & C. snc","PONTE ALEXANDER FLEMING 1, 16138 - GENOVA GE","Api-Ip",
"8.922459","44.418680","22164","LANGELLOTTI INNOCENZO","PIAZZA FERREIRA 185, 16135 - GENOVA GE","Api-Ip",
"8.966959","44.391618","24402","GENOVA CORSO ITALIA 36","CORSO ITALIA 36 - GENOVA GE","Q8",
"8.955234","44.411606","12637","IP di Piperissa Simone","CORSO SARDEGNA 261r , 16143 - GENOVA GE","Api-Ip","25362;25363"
"8.890673","44.445299","23680","eni","VIA PERLASCA 99 16161 - GENOVA GE","AgipEni",
"8.956007","44.428599","19363","AGIP","LUNGO BISAGNO ISTRIA 29 R., 16141 - GENOVA GE","AgipEni",
"8.976027","44.398398","20293","PARISI ELIO","VIA ORSINI 14 R, 16146 - GENOVA GE","AgipEni",
"8.866335","44.433154","8758","api anonima petroli italiana s.p.a","VIA BORZOLI 136 R 16153 - GENOVA GE","PompeBianche",
"8.833469","44.426714","4051","ENI","VIA MULTEDO DI PEGLI 7 R, 16155 - GENOVA GE","AgipEni",
"9.025807","44.383017","16357","DISTRIBUTORE ESSO ITALIANA","VIA MURCAROLO 2ER., 16167 - GENOVA GE","Esso",
"8.928291","44.405393","17780","Oronero","Corso m.quadrio 12r - GENOVA GE","Api-Ip","24592"
"8.963412","44.393151","11601","GENOVA-CORSO ITALIA 34B/ROSSO","CORSO ITALIA 34B/ROSSO 34/B/ROSSO GENOVA, GE 16145 - GENOVA GE","Shell",
"8.892303","44.409133","4041","impianto eni 1023","PIAZZETTA DEI MINOLLI 7 R, 16149 - GENOVA GE","AgipEni",
"9.023563","44.385112","25312","Ghiorzo Valter","CORSO EUROPA 1773, 16166 - GENOVA GE","Api-Ip","10949"
"8.938246","44.414750","16645","Stazione di servizio di Liguori Daniele","CORSO MAGENTA - STAZ. IP null, 16125 - GENOVA GE","Api-Ip",
"8.984606","44.403953","17512","EUROPAM SRL","VIA TIMAVO 70R, 16132 - GENOVA GE","Api-Ip",
"8.897932","44.486291","23005","Distributore Europam","VIA FIORENZO SEMINI 8 16163 - GENOVA GE","PompeBianche",
"8.825322","44.425160","15342","Staz di Serv. Esso di Santoro L.","VIA RONCHI 38R, 16156 - GENOVA GE","Esso",
"8.944304","44.398860","5413","eni - Genova - V.le Brigate Partigiane SNC","V.le Brigate Partigiane SNC Genova, GE 16129 - GENOVA GE","AgipEni",
"8.751631","44.431325","18979","Stazione IP di Bona Riccardo (Benzine & Tabacchi)","VIA LEMERLE 23R - GENOVA GE","Api-Ip",
"9.045983","44.392482","23908","S.ILARIO SUD","A12 GENOVA-SESTRI L., Km. 14, EST 16167 - GENOVA GE","Q8",
"8.996876","44.449014","18546","MASSIMILIANO BARETTI S.A.S.","VIA STRUPPA 80, 16165 - GENOVA GE","TotalErg",
"8.910640","44.413471","27380","dinegro carburanti sas","PIAZZA DINEGRO 21 R. 16126 - GENOVA GE","Esso",
"9.023519","44.385113","10949","stazione di rifornimento API - IP","CORSO EUROPA 1773, 16132 - GENOVA GE","Api-Ip","25312"
"8.893053","44.434083","15907","bruzzone e imareti snc","VIA CANEPARI 229 R, 16159 - GENOVA GE","Tamoil",
"8.961730","44.435576","5062","ME-TRA srl","VIA PIACENZA 141-143R 16138 - GENOVA GE","PompeBianche",
"9.013566","44.389617","26858","01090 Corso Europa GE","CORSO EUROPA (LATO MONTE) 1462 16166 - GENOVA GE","AgipEni","17184"
"8.825002","44.425088","25364","Q8","VIA RONCHI 40 16155 - GENOVA GE","Q8",
"8.868337","44.415697","17224","stazione di servizio eni di mancini alessandro","PIAZZA M. CONTI 25 R, 16152 - GENOVA GE","AgipEni",
"9.020434","44.449383","17298","DELLE PIANE E CAU S.n.c.","Via Struppa, 113/a - Genova  - GENOVA GE","AgipEni",
"8.993000","44.398748","8682","stazione di servizio ESSO di Zanoni","CORSO EUROPA 844 16148 - GENOVA GE","Esso",
